Season,Country,Winners,Score,Runners-up,SW,SR,SW-SR,Country,Venue,Attendance,extra_time
2004,England,Liverpool FC,3–3,AC Milan,3,3,0,Italy,"Atatürk Olympic Stadium, Istanbul, Turkey",69000,Prolongamento
2005,Spain,FC Barcelona,2–1,Arsenal FC,2,1,1,England,"Stade de France, Saint-Denis, France",79610,Normal
2006,Italy,AC Milan,2–1,Liverpool FC,2,1,1,England,"Olympic Stadium, Athens, Greece",63000,Normal
2007,England,Manchester United,1–1,Chelsea FC,1,1,0,England,"Luzhniki Stadium, Moscow, Russia",67310,Prolongamento
2008,Spain,FC Barcelona,2–0,Manchester United,2,0,2,England,"Stadio Olimpico, Rome, Italy",62467,Normal
2009,Italy,Inter Milan,2–0,Bayern Munich,2,0,2,Germany,"Santiago Bernabéu, Madrid, Spain",73490,Normal
2010,Spain,FC Barcelona,3–1,Manchester United,3,1,2,England,"Wembley Stadium, London, England",87695,Normal
2011,England,Chelsea FC,1–1,Bayern Munich,1,1,0,Germany,"Allianz Arena, Munich, Germany",62500,Prolongamento
2012,Germany,Bayern Munich,2–1,Borussia Dortmund,2,1,1,Germany,"Wembley Stadium, London, England",86298,Normal
2013,Spain,Real Madrid,4–1,Atlético Madrid,4,1,3,Spain,"Estádio da Luz, Lisbon, Portugal",60976,Prolongamento
2014,Spain,FC Barcelona,3–1,Juventus,3,1,2,Italy,"Olympiastadion, Berlin, Germany",70442,Normal
2015,Spain,Real Madrid,1–1,Atlético Madrid,1,1,0,Spain,"San Siro, Milan, Italy",71942,Prolongamento
2016,Spain,Real Madrid,4–1,Juventus,4,1,3,Italy,"Millennium Stadium, Cardiff, Wales",65842,Normal
2017,Spain,Real Madrid,3–1,Liverpool FC,3,1,2,England,"NSC Olimpiyskiy Stadium, Kyiv, Ukraine",61561,Normal
2018,England,Liverpool FC,2–0,Tottenham Hotspur,2,0,2,England,"Metropolitano Stadium, Madrid, Spain",63272,Normal
2019,Germany,Bayern Munich,1–0,Paris Saint-Germain,1,0,1,France,"Estádio da Luz, Lisbon, Portugal",0,Normal
2020,England,Chelsea FC,1–0,Manchester City,1,0,1,England,"Estádio do Dragão, Porto, Portugal",14110,Normal
2021,Spain,Real Madrid,1–0,Liverpool FC,1,0,1,England,"Stade de France, Saint-Denis, France",75000,Normal
2022,England,Manchester City,1–0,Inter Milan,1,0,1,Italy,"Atatürk Olympic Stadium, Istanbul, Turkey",71412,Normal
